Fog executionTime (s),Cloud executionTime (s),m,n,Fog faster than Cloud ?
0.141653581,0.135085393,5900,40,FALSE
0.138561622,0.1221893,6000,40,FALSE
0.180350617,0.123819347,6100,40,FALSE
0.149247491,0.118158855,6200,40,FALSE
0.150220086,0.120637735,6300,40,FALSE
0.155784889,0.120629585,6400,40,FALSE
0.148628073,0.124247688,6500,40,FALSE
0.173376728,0.12004971,6600,40,FALSE
0.152744849,0.12427727,6700,40,FALSE
0.153733444,0.121945094,6800,40,FALSE
0.157284835,0.12166376,6900,40,FALSE
0.186676411,0.175362972,7000,40,FALSE
0.160061652,0.127486654,7100,40,FALSE
0.098888368,0.121098374,7200,40,TRUE
0.084548172,0.128239795,7300,40,TRUE
0.104903245,0.121380313,7400,40,TRUE
0.091059911,0.123055036,7500,40,TRUE
0.243601911,0.121357974,7600,40,FALSE
0.153193716,0.121754016,7700,40,FALSE
0.200272218,0.126164504,7800,40,FALSE
0.179464354,0.126512549,7900,40,FALSE
0.178716343,0.12360895,8000,40,FALSE
0.213916625,0.123560653,8100,40,FALSE
0.182209778,0.123778898,8200,40,FALSE
0.184787668,0.127217695,8300,40,FALSE
0.196072429,0.126898629,8400,40,FALSE
0.210766708,0.129179186,8500,40,FALSE
0.195893728,0.128322807,8600,40,FALSE
0.200104082,0.124682669,8700,40,FALSE
0.232860801,0.130018359,8800,40,FALSE
0.201001816,0.124978795,8900,40,FALSE
0.20192551,0.123682001,9000,40,FALSE
0.236387741,0.124077136,9100,40,FALSE
0.202523495,0.124554379,9200,40,FALSE
0.204229914,0.132058636,9300,40,FALSE
0.249157959,0.136232766,9400,40,FALSE
0.226367777,0.137526541,9500,40,FALSE
0.233423771,0.131123169,9600,40,FALSE
0.252330516,0.133884893,9700,40,FALSE
0.230259365,0.128082526,9800,40,FALSE
0.221883333,0.125414983,9900,40,FALSE
0.264337026,0.124899103,10000,40,FALSE
0.057938243,0.118571196,1000,50,TRUE
0.059880113,0.113488465,1100,50,TRUE
0.062278397,0.112180201,1200,50,TRUE
0.064542654,0.117286175,1300,50,TRUE
0.056565984,0.12170934,1400,50,TRUE
0.061551516,0.113273239,1500,50,TRUE
0.062234325,0.114521734,1600,50,TRUE
0.063173715,0.118594138,1700,50,TRUE
0.064903378,0.117657464,1800,50,TRUE
0.038524372,0.114373823,1900,50,TRUE
0.039903875,0.121547845,2000,50,TRUE
0.066191116,0.114197235,2100,50,TRUE
0.094099951,0.116061829,2200,50,TRUE
0.080263863,0.118278693,2300,50,TRUE
0.089603132,0.18135189,2400,50,TRUE
0.081859197,0.115286046,2500,50,TRUE
